@relation tweets-sentiment-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute First_person_pronouns {0,1,2,3,4,5,6,7}
@attribute Second_person_pronouns {0,1,2,3,4,5}
@attribute Third_person_pronouns {0,1,2,3,4,5}
@attribute 'Coordinating conjunctions' {0,1,2,3,4}
@attribute Past_tense_verbs {0,1,2,3,4,5,7}
@attribute Future_tense_verbs {0,1,2,4}
@attribute Commas {0}
@attribute Positive_words {0,1,2,3,4,5,6,7}
@attribute Negative_words {0,1,2,3,4,5,7}
@attribute Colon_semi-colon_ellipsis {0,1,2,3,4,7}
@attribute Dashes {0,1,2,3,4}
@attribute Parentheses {0,1,2,3,4}
@attribute Common_nouns {0,1,2,3,4,5,6,7,8,9,10,11,13}
@attribute Proper_nouns {0,1,2,3,4,5,6,7,8,9,10,15}
@attribute Adverbs {0,1,2,3,4,5,6,7,8}
@attribute Wh_words {0,1,2,3}
@attribute Modern_slang_acronyms {0,1,2,3,4}
@attribute Upper_case {0,1,2,3,4,5,6,7,8,9,10,11,12,13,19,20,21,22,23}
@attribute Average_token_length {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,24,25,28,31}
@attribute Sentiment {0,4}

@data
0,2,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,4,0
1,1,2,1,4,1,0,2,3,0,0,0,2,1,1,0,0,0,4,0
0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0
1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,4,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,4,0
0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0
0,1,2,0,2,0,0,0,2,0,0,0,1,0,3,1,0,0,5,0
2,0,0,2,1,0,0,0,1,0,0,0,3,1,1,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0
0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,5,0
1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
1,2,0,1,0,0,0,2,1,1,0,0,1,1,1,0,0,0,4,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0
1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,0
0,0,1,1,0,1,0,3,0,0,0,0,1,1,2,0,0,1,3,0
2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0
1,0,1,2,0,0,0,2,1,0,0,0,4,1,1,0,0,1,4,0
0,2,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
1,2,1,0,1,0,0,0,3,0,0,0,1,0,1,1,0,0,4,0
1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,4,0
3,0,1,0,2,0,0,1,1,0,0,0,1,3,2,0,0,0,4,0
2,0,0,3,2,0,0,1,1,2,0,0,2,0,1,0,1,0,3,0
1,0,2,0,3,0,0,1,2,0,0,0,3,0,2,0,0,0,3,0
2,0,2,1,3,0,0,1,2,0,0,0,2,0,1,0,2,0,3,0
3,0,0,0,2,0,0,0,1,0,0,0,1,2,2,0,1,0,4,0
2,1,0,0,0,0,0,1,4,0,0,0,4,0,1,0,0,0,4,0
0,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,3,0
3,1,0,1,2,0,0,2,0,0,0,0,2,1,0,0,0,0,5,0
3,0,0,1,3,0,0,2,3,0,0,0,4,0,4,0,0,0,4,0
1,0,2,0,0,0,0,1,1,1,0,0,3,1,1,1,0,0,4,0
0,0,2,0,2,0,0,0,3,0,0,0,1,2,1,0,0,0,4,0
1,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,3,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,5,0
0,2,0,0,1,0,0,1,1,0,0,0,1,1,2,0,0,0,4,0
0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,5,0
2,1,0,0,1,0,0,0,1,0,0,0,4,0,1,1,0,0,4,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0
0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,7,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5,0
1,0,1,1,1,0,0,0,0,0,0,0,4,1,1,0,0,1,3,0
0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,0
1,0,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,0,1,4,0
1,0,1,1,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,1,0,4,0
1,2,0,0,0,0,0,2,0,0,0,0,2,1,3,1,0,0,4,0
1,0,2,1,0,0,0,0,0,0,1,0,5,1,3,0,1,0,4,0
2,0,1,2,0,0,0,1,1,0,0,0,4,0,2,0,0,0,4,0
2,0,0,1,2,0,0,1,0,0,0,0,2,2,0,0,1,0,5,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0
0,1,2,2,0,0,0,0,4,0,0,0,4,2,0,0,0,0,4,0
0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,6,0
0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,6,0
0,0,0,1,2,0,0,1,3,0,0,0,3,1,0,0,0,2,5,0
1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0
4,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0
2,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,10,4,0
0,0,0,0,1,0,0,2,0,0,0,0,1,2,3,0,1,0,4,0
1,0,1,2,1,0,0,2,1,0,0,2,1,2,2,0,1,0,3,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
0,0,0,0,0,0,0,1,2,4,0,1,3,4,0,0,0,2,6,0
1,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,0,0,4,0
0,1,0,1,1,0,0,0,2,0,0,0,1,2,2,0,0,1,5,0
3,0,0,0,1,0,0,1,0,0,0,0,6,0,1,0,0,4,4,0
1,0,0,0,0,0,0,1,0,0,0,0,5,2,1,0,0,0,4,0
0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,1,4,0
0,1,0,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0,4,0
1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,4,0
1,0,0,1,1,0,0,2,1,0,0,0,6,1,2,0,0,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,4,0
0,1,3,0,1,0,0,0,1,1,0,0,6,0,1,0,1,0,4,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,0
1,0,0,0,1,0,0,1,1,0,0,0,4,2,2,0,0,0,4,0
1,0,3,1,0,0,0,1,1,1,0,0,3,0,2,1,0,0,4,0
0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0
0,0,0,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,5,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0
0,1,0,1,0,0,0,0,2,0,0,0,5,2,1,1,0,2,4,0
1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,4,0
1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,4,0
2,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0
0,1,0,1,1,0,0,1,0,0,0,0,3,3,2,0,0,2,3,0
0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,0
3,0,0,0,1,0,0,0,1,2,0,0,1,6,1,1,0,0,3,0
0,0,0,2,2,0,0,1,0,1,0,0,2,6,1,0,0,0,3,0
2,0,1,2,0,0,0,2,3,0,1,0,3,0,2,0,1,0,3,0
0,0,0,2,3,0,0,4,1,0,0,0,2,1,3,0,2,0,4,0
0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,3,0
2,0,0,0,0,0,0,1,2,0,0,0,5,2,2,0,0,0,5,0
1,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,4,0
1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,4,0
1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5,0
0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,7,0
1,0,0,2,2,0,0,2,1,0,0,0,5,6,1,0,0,1,4,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0
0,0,0,0,2,0,0,0,0,1,0,0,7,1,1,0,1,0,4,0
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,5,0
0,0,0,3,0,0,0,0,0,0,0,0,1,7,1,0,0,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,4,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0
2,0,0,0,1,0,0,0,2,0,0,0,4,3,1,1,0,0,3,0
1,0,0,1,1,0,0,0,1,0,0,0,3,1,2,0,0,1,3,0
0,0,0,1,0,0,0,2,4,0,0,0,4,1,0,0,0,0,4,0
2,2,0,0,1,0,0,2,1,0,0,0,5,0,0,1,0,1,4,0
0,0,0,1,0,0,0,0,4,0,0,0,3,6,0,0,0,0,6,0
3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
1,0,0,0,1,0,0,2,2,0,0,0,6,1,2,0,0,0,4,0
0,0,0,1,0,0,0,1,0,1,1,0,1,2,0,0,0,1,2,0
2,1,0,1,0,0,0,0,3,0,0,0,6,3,2,0,0,2,4,0
0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,5,0
1,0,1,0,1,0,0,0,2,0,0,0,4,2,0,0,0,1,4,0
0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0
0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0
0,0,1,1,2,0,0,2,4,0,0,0,3,2,0,0,1,0,4,0
1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,5,0
1,1,0,0,1,0,0,0,2,0,0,0,4,1,0,0,0,8,3,0
1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,1,6,0
0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,4,0
1,0,1,1,1,0,0,0,2,0,0,0,3,1,0,0,0,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
0,3,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,1,2,0
1,0,0,0,1,0,0,1,1,0,0,0,2,4,0,0,1,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,4,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0
1,0,0,1,2,0,0,2,2,0,0,0,8,4,0,0,0,0,4,0
0,0,0,0,2,0,0,1,0,0,0,0,3,0,3,0,0,0,4,0
2,0,0,1,0,2,0,0,1,0,0,0,4,0,0,0,1,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,4,0
0,0,0,1,1,0,0,0,2,0,0,0,5,1,0,1,0,1,4,0
0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,4,0
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3,0
1,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0
0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0
0,0,2,1,2,0,0,2,2,0,0,0,5,2,2,0,1,0,4,0
1,0,1,0,3,0,0,0,2,0,0,0,0,2,1,1,0,1,3,0
2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,5,0
1,0,1,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,4,0
5,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,4,0
1,0,0,1,0,0,0,0,1,0,0,0,2,3,1,0,0,3,6,0
2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,3,0
3,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,2,0,3,0
2,0,0,1,0,0,0,0,1,0,0,0,4,1,2,1,0,0,4,0
3,0,0,0,0,0,0,1,2,0,0,0,4,0,2,0,1,0,4,0
1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,4,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
3,0,0,0,1,0,0,3,1,0,0,0,3,4,0,0,1,0,4,0
1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
2,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0
2,0,0,1,0,0,0,0,3,0,0,0,4,0,2,0,2,4,3,0
2,0,0,0,2,0,0,1,0,0,0,2,6,0,3,0,0,0,4,0
1,0,2,0,2,0,0,2,2,0,0,0,3,3,2,0,0,0,4,0
1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0
2,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,4,0
1,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,2,4,0
1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0
2,0,2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0
3,2,0,0,0,0,0,0,1,2,0,2,4,2,1,0,0,0,3,0
1,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,1,1,4,0
3,0,1,1,0,0,0,2,1,0,0,0,1,5,2,0,0,0,4,0
2,0,0,1,0,0,0,1,1,0,0,0,3,0,2,0,0,0,3,0
3,0,0,1,3,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0
3,0,4,1,3,0,0,1,3,0,0,0,4,3,1,0,0,0,3,0
3,0,0,0,2,1,0,0,0,2,0,0,1,4,3,1,0,2,5,0
1,0,0,0,1,0,0,1,1,0,0,0,3,2,1,0,0,0,4,0
0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,0
2,0,1,1,2,1,0,0,1,0,0,0,1,3,1,0,0,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,0,0,0,4,0
1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0
0,0,0,1,1,0,0,0,2,0,0,0,4,3,1,0,0,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0
0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,6,0
1,0,1,1,1,0,0,2,1,0,0,0,4,1,2,0,0,0,4,0
0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,5,0
1,0,1,0,2,0,0,0,2,0,0,0,2,1,0,0,1,1,3,0
1,0,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,4,0
0,1,2,0,1,1,0,0,2,0,0,0,2,3,0,2,0,2,3,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,0,0,3,0
0,0,0,0,2,0,0,1,0,0,0,0,4,3,1,0,0,1,4,0
0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,3,0
0,0,2,0,2,1,0,0,2,0,0,0,1,2,0,0,0,0,3,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,1,0,1,0,0,1,1,0,0,0,3,5,2,0,0,0,5,0
1,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,0,4,0
1,0,0,0,2,0,0,0,1,0,0,0,4,0,1,0,1,0,4,0
2,0,1,0,4,0,0,0,1,0,0,0,3,0,2,0,0,0,3,0
1,0,0,0,1,0,0,0,2,0,0,0,5,1,1,0,0,0,4,0
1,0,1,0,1,0,0,2,2,0,0,0,5,1,3,0,1,0,3,0
0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0
2,0,0,1,3,0,0,1,2,0,0,0,6,0,1,1,0,2,4,0
2,0,1,0,3,0,0,0,1,0,0,0,3,2,2,0,0,0,3,0
0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,4,0
2,0,3,0,2,1,0,1,1,2,0,0,4,2,1,0,0,0,4,0
1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,3,0
0,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0
0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,0,0,1,4,0
3,0,0,3,4,0,0,0,2,0,0,0,2,2,0,1,0,0,3,0
0,0,1,0,1,0,0,2,2,0,0,0,3,0,3,0,0,1,3,0
0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,4,0
1,0,0,0,1,0,0,2,1,1,0,0,5,3,3,0,0,0,4,0
0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0
1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,3,0
0,0,0,1,1,0,0,3,1,0,0,0,3,2,1,0,0,0,5,0
4,0,0,0,2,0,0,0,0,0,0,2,3,2,1,1,0,0,4,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,4,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,1,6,0
0,0,0,0,2,0,0,1,2,0,0,0,2,2,2,0,0,0,5,0
0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0
2,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,3,0
0,0,1,0,0,0,0,3,0,0,0,0,3,1,1,0,1,2,3,0
0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,0,4,0
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0
2,1,0,1,2,0,0,0,3,0,0,0,2,4,2,0,0,3,3,0
0,1,0,0,0,0,0,2,0,0,0,0,2,3,2,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0
1,0,1,1,0,0,0,0,2,0,0,0,3,4,1,1,0,1,4,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,7,0
0,0,1,0,1,0,0,1,2,0,0,0,2,4,2,0,0,1,4,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0
0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1,0,0,3,0
0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,3,0
0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,4,0
1,0,1,0,1,0,0,0,0,0,3,0,6,2,2,0,1,2,5,0
1,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,0,4,0
1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,3,0,3,0
0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,2,2,3,0
1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,1,1,4,0
6,1,1,0,1,0,0,0,5,0,0,0,3,3,2,0,0,0,3,0
3,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,0,3,0
1,0,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,1,4,0
0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,6,0
0,1,0,1,1,0,0,0,3,0,0,0,1,1,1,0,0,0,4,0
1,0,0,0,3,0,0,0,2,0,0,2,3,2,2,0,0,0,4,0
1,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,0,4,0
3,0,0,0,1,0,0,0,1,0,0,0,5,2,1,0,1,0,4,0
0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0
1,0,1,2,0,0,0,3,1,0,0,0,3,2,0,0,1,0,4,0
1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0
0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,4,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,6,0
0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,3,0
0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,4,0
0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,4,0
0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,3,0
1,0,2,0,1,1,0,0,2,0,0,0,4,2,3,1,0,1,4,0
1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,5,0
0,0,0,0,3,0,0,0,0,1,0,0,2,1,1,0,0,1,5,0
0,0,0,0,0,0,0,0,1,1,0,0,5,3,2,0,0,1,5,0
1,1,0,0,0,0,0,0,0,2,0,0,4,3,1,1,0,1,4,0
0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,4,0
0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,3,0
0,0,0,0,1,0,0,0,1,1,0,0,0,8,2,0,0,1,4,0
0,0,0,0,2,0,0,0,2,0,0,0,2,2,1,0,0,0,5,0
1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,4,0
0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,4,0
5,0,0,1,2,1,0,0,0,0,0,0,4,0,5,0,0,0,3,0
0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
